m6-b7-l6-hard-witness-positive-gain-coordinate-residual-singleton-parent-v1
residual-manifest-bytes	13269
residual-manifest-sha256	ed2f787c0a10ecb5663479db61446ce36bfb5d75cc39bb3f48e2bb8cddf79706
residual-hash-ledger-bytes	17655
residual-hash-ledger-sha256	785268882c06117261f99ab6efabd4e4d61ce9565dc5c87a08273ed47607c96a
residual-producer-bytes	10609
residual-producer-sha256	b4359639f46a2eff5a99a41b43f268d02af17749a88187d81cc31a69b31c8d52
residual-checker-bytes	12276
residual-checker-sha256	53d9e62e6fd4c99a9891785f50242087a630fe9ef9dafba82d15db722f5cbe8e
coordinate-certificates-bytes	9990
coordinate-certificates-sha256	19d3d8e1a3f5e11545ae6095b1cc74b674512d59b12f2212d19c34fbb9b976f3
positive-gain-certificates-bytes	3687
positive-gain-certificates-sha256	ab44c6fccf70dc5bae6b30b82f9e3983fe9c065b82d8301db3fc76bac13e5b59
no-gain-certificates-bytes	26475
no-gain-certificates-sha256	f780c44424d7925b3b2a1e3d7ee1cbc757a7fc0b1daf14264d9699cc9d1532ec
witness-orbit-certificates-bytes	6987
witness-orbit-certificates-sha256	cd46a986097405c2d270f15f2525df67e586cc53137e09ef5eafeafd42f2bd02
state-certificates-bytes	5030
state-certificates-sha256	037a4a6e51ef5cd76dc070bd461481ef90ac5520a875c0a96973c60f991172c7
residual-leaves	153
memberships	1382
split	one CNF per residual membership with a positive unit selecting its exact parent
selector-cover	for each residual leaf, all parent selectors exactly once
selector-disjoint	distinct guarded parent hole projections are incompatible
selector-exhaustive	the residual leaf parent-selector ALO supplies at least one selector
proof-status	scout-only; no LRAT generated or committed
columns	membership-ordinal,key,residual-leaf-ordinal,residual-key,parent-ordinal,accepted-ordinal,cover-index,parent-fingerprint,selector,variables,clauses
0305	r045-o12-w03-c16-p03-a24214	045	o12-w03-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0306	r045-o12-w03-c16-p04-a24293	045	o12-w03-c16	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0307	r045-o12-w03-c16-p05-a24304	045	o12-w03-c16	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0308	r045-o12-w03-c16-p06-a24309	045	o12-w03-c16	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0309	r045-o12-w03-c16-p07-a28955	045	o12-w03-c16	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0310	r045-o12-w03-c16-p08-a29035	045	o12-w03-c16	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0311	r045-o12-w03-c16-p09-a29047	045	o12-w03-c16	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0312	r046-o12-w03-c17-p00-a23589	046	o12-w03-c17	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0313	r046-o12-w03-c17-p01-a23608	046	o12-w03-c17	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0314	r046-o12-w03-c17-p02-a23618	046	o12-w03-c17	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0315	r046-o12-w03-c17-p03-a24214	046	o12-w03-c17	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0316	r046-o12-w03-c17-p04-a24293	046	o12-w03-c17	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0317	r046-o12-w03-c17-p05-a24304	046	o12-w03-c17	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0318	r046-o12-w03-c17-p06-a24309	046	o12-w03-c17	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0319	r046-o12-w03-c17-p07-a28955	046	o12-w03-c17	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0320	r046-o12-w03-c17-p08-a29035	046	o12-w03-c17	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0321	r046-o12-w03-c17-p09-a29047	046	o12-w03-c17	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0322	r047-o12-w04-c16-p00-a23589	047	o12-w04-c16	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0323	r047-o12-w04-c16-p01-a23608	047	o12-w04-c16	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0324	r047-o12-w04-c16-p02-a23618	047	o12-w04-c16	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0325	r047-o12-w04-c16-p03-a24214	047	o12-w04-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0326	r047-o12-w04-c16-p04-a24293	047	o12-w04-c16	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0327	r047-o12-w04-c16-p05-a24304	047	o12-w04-c16	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0328	r047-o12-w04-c16-p06-a24309	047	o12-w04-c16	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0329	r047-o12-w04-c16-p07-a28955	047	o12-w04-c16	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0330	r047-o12-w04-c16-p08-a29035	047	o12-w04-c16	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0331	r047-o12-w04-c16-p09-a29047	047	o12-w04-c16	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0332	r048-o12-w04-c17-p00-a23589	048	o12-w04-c17	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0333	r048-o12-w04-c17-p01-a23608	048	o12-w04-c17	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0334	r048-o12-w04-c17-p02-a23618	048	o12-w04-c17	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0335	r048-o12-w04-c17-p03-a24214	048	o12-w04-c17	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0336	r048-o12-w04-c17-p04-a24293	048	o12-w04-c17	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0337	r048-o12-w04-c17-p05-a24304	048	o12-w04-c17	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0338	r048-o12-w04-c17-p06-a24309	048	o12-w04-c17	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0339	r048-o12-w04-c17-p07-a28955	048	o12-w04-c17	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0340	r048-o12-w04-c17-p08-a29035	048	o12-w04-c17	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0341	r048-o12-w04-c17-p09-a29047	048	o12-w04-c17	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0342	r049-o13-w00-c16-p00-a23589	049	o13-w00-c16	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0343	r049-o13-w00-c16-p01-a23608	049	o13-w00-c16	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0344	r049-o13-w00-c16-p02-a23618	049	o13-w00-c16	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0345	r049-o13-w00-c16-p03-a24214	049	o13-w00-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0346	r049-o13-w00-c16-p04-a24293	049	o13-w00-c16	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0347	r049-o13-w00-c16-p05-a24304	049	o13-w00-c16	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0348	r049-o13-w00-c16-p06-a24309	049	o13-w00-c16	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0349	r049-o13-w00-c16-p07-a28955	049	o13-w00-c16	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0350	r049-o13-w00-c16-p08-a29035	049	o13-w00-c16	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0351	r049-o13-w00-c16-p09-a29047	049	o13-w00-c16	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0352	r050-o13-w00-c17-p00-a23589	050	o13-w00-c17	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0353	r050-o13-w00-c17-p01-a23608	050	o13-w00-c17	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0354	r050-o13-w00-c17-p02-a23618	050	o13-w00-c17	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0355	r050-o13-w00-c17-p03-a24214	050	o13-w00-c17	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0356	r050-o13-w00-c17-p04-a24293	050	o13-w00-c17	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0357	r050-o13-w00-c17-p05-a24304	050	o13-w00-c17	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0358	r050-o13-w00-c17-p06-a24309	050	o13-w00-c17	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0359	r050-o13-w00-c17-p07-a28955	050	o13-w00-c17	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0360	r050-o13-w00-c17-p08-a29035	050	o13-w00-c17	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0361	r050-o13-w00-c17-p09-a29047	050	o13-w00-c17	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0362	r051-o13-w01-c16-p00-a23589	051	o13-w01-c16	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0363	r051-o13-w01-c16-p01-a23608	051	o13-w01-c16	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0364	r051-o13-w01-c16-p02-a23618	051	o13-w01-c16	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0365	r051-o13-w01-c16-p03-a24214	051	o13-w01-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0366	r051-o13-w01-c16-p04-a24293	051	o13-w01-c16	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0367	r051-o13-w01-c16-p05-a24304	051	o13-w01-c16	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0368	r051-o13-w01-c16-p06-a24309	051	o13-w01-c16	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0369	r051-o13-w01-c16-p07-a28955	051	o13-w01-c16	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0370	r051-o13-w01-c16-p08-a29035	051	o13-w01-c16	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0371	r051-o13-w01-c16-p09-a29047	051	o13-w01-c16	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0372	r052-o13-w01-c17-p00-a23589	052	o13-w01-c17	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0373	r052-o13-w01-c17-p01-a23608	052	o13-w01-c17	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0374	r052-o13-w01-c17-p02-a23618	052	o13-w01-c17	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0375	r052-o13-w01-c17-p03-a24214	052	o13-w01-c17	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0376	r052-o13-w01-c17-p04-a24293	052	o13-w01-c17	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0377	r052-o13-w01-c17-p05-a24304	052	o13-w01-c17	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0378	r052-o13-w01-c17-p06-a24309	052	o13-w01-c17	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0379	r052-o13-w01-c17-p07-a28955	052	o13-w01-c17	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0380	r052-o13-w01-c17-p08-a29035	052	o13-w01-c17	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0381	r052-o13-w01-c17-p09-a29047	052	o13-w01-c17	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0382	r053-o13-w02-c16-p00-a23589	053	o13-w02-c16	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0383	r053-o13-w02-c16-p01-a23608	053	o13-w02-c16	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0384	r053-o13-w02-c16-p02-a23618	053	o13-w02-c16	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0385	r053-o13-w02-c16-p03-a24214	053	o13-w02-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0386	r053-o13-w02-c16-p04-a24293	053	o13-w02-c16	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0387	r053-o13-w02-c16-p05-a24304	053	o13-w02-c16	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0388	r053-o13-w02-c16-p06-a24309	053	o13-w02-c16	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0389	r053-o13-w02-c16-p07-a28955	053	o13-w02-c16	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0390	r053-o13-w02-c16-p08-a29035	053	o13-w02-c16	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0391	r053-o13-w02-c16-p09-a29047	053	o13-w02-c16	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0392	r054-o13-w02-c17-p00-a23589	054	o13-w02-c17	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0393	r054-o13-w02-c17-p01-a23608	054	o13-w02-c17	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0394	r054-o13-w02-c17-p02-a23618	054	o13-w02-c17	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0395	r054-o13-w02-c17-p03-a24214	054	o13-w02-c17	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0396	r054-o13-w02-c17-p04-a24293	054	o13-w02-c17	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0397	r054-o13-w02-c17-p05-a24304	054	o13-w02-c17	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0398	r054-o13-w02-c17-p06-a24309	054	o13-w02-c17	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0399	r054-o13-w02-c17-p07-a28955	054	o13-w02-c17	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0400	r054-o13-w02-c17-p08-a29035	054	o13-w02-c17	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0401	r054-o13-w02-c17-p09-a29047	054	o13-w02-c17	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0402	r055-o13-w03-c16-p00-a23589	055	o13-w03-c16	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0403	r055-o13-w03-c16-p01-a23608	055	o13-w03-c16	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0404	r055-o13-w03-c16-p02-a23618	055	o13-w03-c16	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0405	r055-o13-w03-c16-p03-a24214	055	o13-w03-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0406	r055-o13-w03-c16-p04-a24293	055	o13-w03-c16	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0407	r055-o13-w03-c16-p05-a24304	055	o13-w03-c16	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0408	r055-o13-w03-c16-p06-a24309	055	o13-w03-c16	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0409	r055-o13-w03-c16-p07-a28955	055	o13-w03-c16	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0410	r055-o13-w03-c16-p08-a29035	055	o13-w03-c16	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0411	r055-o13-w03-c16-p09-a29047	055	o13-w03-c16	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0412	r056-o13-w03-c17-p00-a23589	056	o13-w03-c17	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0413	r056-o13-w03-c17-p01-a23608	056	o13-w03-c17	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0414	r056-o13-w03-c17-p02-a23618	056	o13-w03-c17	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0415	r056-o13-w03-c17-p03-a24214	056	o13-w03-c17	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0416	r056-o13-w03-c17-p04-a24293	056	o13-w03-c17	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0417	r056-o13-w03-c17-p05-a24304	056	o13-w03-c17	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0418	r056-o13-w03-c17-p06-a24309	056	o13-w03-c17	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0419	r056-o13-w03-c17-p07-a28955	056	o13-w03-c17	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0420	r056-o13-w03-c17-p08-a29035	056	o13-w03-c17	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0421	r056-o13-w03-c17-p09-a29047	056	o13-w03-c17	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0422	r057-o13-w04-c16-p00-a23589	057	o13-w04-c16	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0423	r057-o13-w04-c16-p01-a23608	057	o13-w04-c16	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0424	r057-o13-w04-c16-p02-a23618	057	o13-w04-c16	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0425	r057-o13-w04-c16-p03-a24214	057	o13-w04-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0426	r057-o13-w04-c16-p04-a24293	057	o13-w04-c16	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0427	r057-o13-w04-c16-p05-a24304	057	o13-w04-c16	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0428	r057-o13-w04-c16-p06-a24309	057	o13-w04-c16	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0429	r057-o13-w04-c16-p07-a28955	057	o13-w04-c16	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0430	r057-o13-w04-c16-p08-a29035	057	o13-w04-c16	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0431	r057-o13-w04-c16-p09-a29047	057	o13-w04-c16	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0432	r058-o13-w04-c17-p00-a23589	058	o13-w04-c17	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0433	r058-o13-w04-c17-p01-a23608	058	o13-w04-c17	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0434	r058-o13-w04-c17-p02-a23618	058	o13-w04-c17	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0435	r058-o13-w04-c17-p03-a24214	058	o13-w04-c17	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
0436	r058-o13-w04-c17-p04-a24293	058	o13-w04-c17	04	24293	113286	a7b60c634053d4676f0f5fbf21dea4116389a59522626d1713eb3bbd235a7e2d	23621	23626	144281
0437	r058-o13-w04-c17-p05-a24304	058	o13-w04-c17	05	24304	113301	53419dc8a832e2c39e3eb3fb1c1c4f4d6a6352600361dcdf073c59b9c3d13287	23622	23626	144281
0438	r058-o13-w04-c17-p06-a24309	058	o13-w04-c17	06	24309	113310	ebfc573f528a0b4913396b4b00ee76746bd93e94080dab7b9c1ded1f5369bd50	23623	23626	144281
0439	r058-o13-w04-c17-p07-a28955	058	o13-w04-c17	07	28955	119902	85e8bb5a3fb51511568e143145ceff1412ac6e5e2d8c78668bbf44fe57f181a9	23624	23626	144281
0440	r058-o13-w04-c17-p08-a29035	058	o13-w04-c17	08	29035	120036	361cfb2a23d4b25f7ca79c228d8c48a3095a459fe87f33bed58e36595092fc27	23625	23626	144281
0441	r058-o13-w04-c17-p09-a29047	058	o13-w04-c17	09	29047	120056	68c5ca5267d4cc288482af5d4fb7e1ddd62710cf13cc2422e22571698efe4df1	23626	23626	144281
0442	r059-o14-w00-c16-p00-a23589	059	o14-w00-c16	00	23589	112240	8352fb2fa80054807ab7135b4f4fad22fb3941627567a3cac4e1636687375341	23617	23626	144281
0443	r059-o14-w00-c16-p01-a23608	059	o14-w00-c16	01	23608	112268	0568ed68f4a60e6b40040bc67993e32318beeff7820bae23c1181746fa8c3027	23618	23626	144281
0444	r059-o14-w00-c16-p02-a23618	059	o14-w00-c16	02	23618	112284	32c6f47203946748276d1816d739be25dcf379582cb3d8dff7603e29d2f2ff3e	23619	23626	144281
0445	r059-o14-w00-c16-p03-a24214	059	o14-w00-c16	03	24214	113166	bae987d3adfe9c3cf383c26aec7fbc4790378d1ea6624fdab0caef217448d017	23620	23626	144281
