034	o11-i12	11	2	23626	144287	10402084	ba6f03ee2f2235d19c8779ec80fe59588a11561d8aa3155739f944c27580bbf1	7126338	cc4a676d8bbdf317989fc1d1c707d6bac28e0a755ade03949929070b33aa8e78	474604	7835a2202a3251e9df9533ea04b90db466b316f6cb6c74dc697989e8a34f1837	254063784	329740701	certificates/m6-b7-l6-early-c-inaccessible-pair-child-034.lrat.xz
035	o11-i13	11	1	23626	144288	10402091	fe84f2b6634afce2db1597385af54f52a29d911b639aefb2fdbe835de6e1cc50	7125359	fa25fc09c3078d247c5a66ad8f54d2a68503c84f63a0afc5b9c4dfb06a505043	474564	3e69055ab15837f8cbeb5f51f53c49a43f457c94f9925ac5b1529bf8eefc6e06	252583792	329303764	certificates/m6-b7-l6-early-c-inaccessible-pair-child-035.lrat.xz
036	o11-i14	11	5	23626	144284	10402064	8ed9b81055229dcd03db89cd9cda941b7932992052f62a25637e2cb5f2f2c0d1	7162338	9b668a71cba714486cf28ff162f058e5b1e9dc5805325cdbacbb4a936a578462	484516	72be2b344d49297d40245fc1492b13443129e817ae08eb5aed3e603215a8627a	255058578	329628352	certificates/m6-b7-l6-early-c-inaccessible-pair-child-036.lrat.xz
038	o11-i16	11	2	23626	144287	10402084	a231226632cc34553d2839697648fe673f40936fa6204fa50addc27ac695ae25	7125604	88f0fd17ac78b3247ee183b19bcc05a3148cb76f9e9aafc60970363c48f9de75	474400	e8e7756a2be7e41c52d97f05e03e41c7fb86aa8643eb81b05fa4d23cda7ae954	255830728	329609874	certificates/m6-b7-l6-early-c-inaccessible-pair-child-038.lrat.xz
039	o11-i17	11	1	23626	144288	10402091	21f5e059b20dcaec53df9796fef07f457ecaffdfc689de4512a66ee4972946bc	7124559	28b4e817de208a056c2e15538decc60ff3f78ecd1076b096d5d85111efdf5ceb	474328	439ca55f3553435e467456ae60280cf7e9a88a9bb891b944d455f604fbf28067	252948414	329949204	certificates/m6-b7-l6-early-c-inaccessible-pair-child-039.lrat.xz
040	o11-i18	11	5	23626	144284	10402064	cee93b396bc4de5689be69638593cdf00e5b8ce92c5883a69eee15394b82e320	7129245	c4e3ee9fcfb7f6f2eba44ab9d556ae818a5363f77544fac8ef0d09636ed0d9a2	475284	e237fbccdadd423cf98507bfbc53a2e633a501e3ff8baff41f186f55c958dff0	253428559	330818856	certificates/m6-b7-l6-early-c-inaccessible-pair-child-040.lrat.xz
042	o11-i20	11	2	23626	144287	10402084	7c5dd0267d1cdf617cbf147ca6169611a2087ef6b3901639eed941e9264e1808	7124638	3ab083eb694ea2e25aff5818528b59c2a3f551bfb36632fe0417ff985742e81b	474112	98569cde1e71486fbf455764ef51eb60508d79db69e4b842d3d93487fb0554cf	255499010	330266558	certificates/m6-b7-l6-early-c-inaccessible-pair-child-042.lrat.xz
043	o11-i21	11	1	23626	144288	10402091	6ca97de3a316ec90588c13273c631ddfe1df2542a00558b5768757fef3dc6ed5	7125417	cb9cd21322f0e2f804572d0d10619ee1eac172d0b5bdbecdd629e6586cc25d65	474636	13c6b728ee5be6a8260fbb56af6d2597c2f52c7690686c3aea44b968064d0e8d	253013498	329621339	certificates/m6-b7-l6-early-c-inaccessible-pair-child-043.lrat.xz
044	o11-i22	11	4	23626	144285	10402071	cc53024ca519a08d91d5b274203b63ac2cead8cdbaa8c122d922bc4d1e63ba09	7127890	87c8a9f4b69bd8fd614568d48e4d39e301c915918685de09ae641117f850629f	475564	f9047322e18e9d0abf84b9279db2d81154b4e61c08642a581d3a574e965e575b	259025927	335800362	certificates/m6-b7-l6-early-c-inaccessible-pair-child-044.lrat.xz
046	o11-i24	11	1	23626	144288	10402091	14fd65422c04303057c9765afadbee97f2fd000086fccefb61c4381ce028eaff	7125415	90ca3788e7eb9115ab74e2c449629c6371096382febc3c767c6554e40052704f	474568	62481ae496dba3bb77d945b9dcbd8b7d15dc5cf4984e887164550e8cda5ec207	258723103	337991278	certificates/m6-b7-l6-early-c-inaccessible-pair-child-046.lrat.xz
