columns	leaf-ordinal,key,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,solve-nanoseconds,check-nanoseconds,artifact
044	o16-w01	10	23626	144311	10402708	482aefb85913ea6ac37244029a163a242077f81d1985eefe989c7cd2c43c074d	7106042	b288c257f02f6212eda7b913bfaac6c757e4be3c89cec76fac4256ecff981d14	470068	c605a513d4f963b3c488014efcb8d0317900043ee7139bff8ba2165f2060a4e9	252711902	333555526	certificates/m6-b7-l6-hard-witness-no-gain-leaf-044.lrat.xz
045	o16-w02	10	23626	144311	10402708	678cd532dc175c18fe274f409ae4943022d366b6e889553c5637a9a9c22ba3a3	7105890	a44378d2e4b01dbe14a9358653f76fec3f4fb35b89d9d9ce51bf5ea7e4e5308d	469972	c8084f6d23320141ae19a9801a2988fbd9684d807c90d47fc0f8bdabe9dcb201	252283726	329711800	certificates/m6-b7-l6-hard-witness-no-gain-leaf-045.lrat.xz
047	o16-w04	10	23626	144311	10402708	e47731ca11838c4d661cd41032387310cd06cd6e912d630264c6d74dbbcee9d6	7104184	2851e28fa3b5fb4e763e9e1a4d0af915013b550076e7da17824ba372c25de51f	469448	b9ac564d369d4f48dee3c9afc48a527bfc2410db2dae7bbaf3620070e374770d	257117289	329956236	certificates/m6-b7-l6-hard-witness-no-gain-leaf-047.lrat.xz
048	o16-w05	10	23626	144311	10402708	9a3fe79b8cda4712e355fae0be7deecaffdaf4979a122d54ac5c0d5594f8770a	7105457	5e7bbc1eec150cc222b810eb9ae08b81add65c065ef144c6a23b767eeec37f9c	469860	266e3ace8f721e93e87b658ad2ada0fc54d04bbfb8ebe6091aaf84ff5ef88664	260086012	334967335	certificates/m6-b7-l6-hard-witness-no-gain-leaf-048.lrat.xz
049	o16-w06	10	23626	144311	10402708	21d9311ce631fd47c9b1bb9f1484d4eaf64c5273c2c4cbba30138a894e4cde87	7105231	5a6502aa29f775e3d14ff3ed49c043a39e48f154c7c1314a3b9df34f6418d2bb	469764	480f50569225064b5732e945a1478d1ac7930465774fe917744743d0e26b03de	252432459	329383727	certificates/m6-b7-l6-hard-witness-no-gain-leaf-049.lrat.xz
050	o17-w00	10	23626	144311	10402708	0c95ce16f8aba4dd48e71efe2862af1fe4de5e542636cd11112c851527ae22a9	7106407	0a03fde39a3fe4aaba0b30319482ba7ce6254396630a2aafc2b22c5abc9ff01e	470044	627efb5c0818601c3ad2ef489a656a33a2525fcf66e881b26b3f6953b77db386	253783578	330653483	certificates/m6-b7-l6-hard-witness-no-gain-leaf-050.lrat.xz
051	o17-w01	10	23626	144311	10402708	5bb575726988fe49a6d0277d7f2b107da7e90c45759dcfb0e85c526a9c96c301	7135859	cd2d94c4fdc0faf7a184c514740ab57bc2cc36376757a151e46b72ae68ec3133	477372	755ba961384ac5f34d9af35ad7466661aa9388b0f6d48adc126381f54ff9305e	257123939	330951280	certificates/m6-b7-l6-hard-witness-no-gain-leaf-051.lrat.xz
052	o17-w02	10	23626	144311	10402708	45e6b5ee438547817af8c8a03eb456ddb933b975b982b3bc782d5790563fbbd4	7104511	c8211f4f3836c9847457bc69cb6e2f72e9ad155aee38cdeda849a9029200977a	469472	1cf78763e39141480ee74b0868e2dda6a4f0f1450ad3063d8ec1c6b2173b4bbc	251398408	329554103	certificates/m6-b7-l6-hard-witness-no-gain-leaf-052.lrat.xz
053	o17-w03	10	23626	144311	10402708	8b1e173f1f34d557baa54287e51e6f363dede035eac3e5b154be10bea47daa6c	7105748	b54d8263dd0b34856f468d50c298e17a51dccdbd8d74fbe9dbe90e9a31e5a029	469856	aa988a45aff22b8a7a030f8eb09be2f434d18b03c9aad708bb5109fe2aa29f57	258673634	329711780	certificates/m6-b7-l6-hard-witness-no-gain-leaf-053.lrat.xz
058	o23-w02	10	23626	144311	10402707	f032a0b228dce2a4cb1e0e666ea5104ced05b21d8eac6780c8b2a0703c48ce29	7105808	5ed97cfb51e00c4e80b51ae4cdc55f2c3e02fe823b0885443d324540822118ca	469816	5296d01a65d8f463f303a6a489ff3f9968a601b41bca842302a22daad4b30067	252194643	330740333	certificates/m6-b7-l6-hard-witness-no-gain-leaf-058.lrat.xz
059	o23-w03	10	23626	144311	10402708	f99732993fb636cf663e7e4bcdbf20b939f64a50a66d66516f10f6096aa0dfaf	7103610	431575e75920e86ed385608cc388b2023f583f8c5fe57699b840895b41344f32	469124	74d8b03d869dda95411ef2441df5c33b502d661024f7a6abbe2c1b18dd113afd	257692048	330874866	certificates/m6-b7-l6-hard-witness-no-gain-leaf-059.lrat.xz
060	o23-w04	10	23626	144311	10402708	e1060c578a5baaf3916c99152634793bdd873b021a1dc7ee54e6ea40fc153081	7105194	3dfdf18112d3ac71c4a284dfafeb662582b350d5d1554465f4029ee5e39a5127	469604	524df66889fb4d4dc7329a291e414d71f3f33c9a7a66bbce8400833aee06bbc1	251677658	329352268	certificates/m6-b7-l6-hard-witness-no-gain-leaf-060.lrat.xz
061	o23-w05	10	23626	144311	10402707	e57ceabd64685d42c3215ff7ec6e46481cf74369d67f13dfb11dcb616c2126b6	7105244	95b98fb81b99883f131ffa6d18cdf9d1e9e1dc5e11bd5b59472f9a6f72d21456	469596	06712bc811145771fad00b2913f27f20ddaeea81c59a17ae3c33884c510ae1b5	254346873	332220193	certificates/m6-b7-l6-hard-witness-no-gain-leaf-061.lrat.xz
062	o23-w06	10	23626	144311	10402708	f6868161ac8f6247306cc825aee5160c5e3a56ad843cbe4e9122f18e2dff550d	7104593	e184b0ab99b55ab08e249218ca05cf6a9e923dec2d536c5b89f6f9e98b659c2d	469328	055a43fe4a95c14665e7bad7e66708cd544f11ca0815183c3e3d17a8e11dd47e	258387193	330978079	certificates/m6-b7-l6-hard-witness-no-gain-leaf-062.lrat.xz
065	o24-w02	10	23626	144311	10402708	81f9aac3387793809070ce528de80cdd81c777d892b1f11f08c05e4b690bb638	7106164	f35950029eb3c009885fa773399ff467f7ec528ebdf1a53fb35bb6a77e94f9eb	469892	a160098a7666661647c65953feeca929c5c919c94dd4e68c6b0fb39716479f31	254868556	331375356	certificates/m6-b7-l6-hard-witness-no-gain-leaf-065.lrat.xz
066	o24-w03	10	23626	144311	10402708	85071bd83dece6ee95b0d21778e172733aff4cc0515b3e242f200ade0b24480a	7103699	5d31eb3c4a7793295b681c3d6ef6d1549a63976722f320390d021c56da916cab	469128	ce38c7b48115d3d88a314632620d9ee03b15e64a46cbd2f421e321c38dbc93c0	259718221	332712647	certificates/m6-b7-l6-hard-witness-no-gain-leaf-066.lrat.xz
067	o24-w04	10	23626	144311	10402708	84c2213221598be91cf5ecd95fadaaef15f79a680cf433bad4b09667325ac163	7105277	99ea9c30ec556bba09bfa991dfb5452104961bb0663eb8ae8c1e52c9870a3694	469616	c8a3bf2db3db9cabc07ad837d9533467db015e934ed55c31ca668b8685e7a11f	253044130	330551079	certificates/m6-b7-l6-hard-witness-no-gain-leaf-067.lrat.xz
068	o24-w05	10	23626	144311	10402708	adfbddbd11bcf266bbd306f6b9bba0f0a899cc99978eb2c882a275a4e26ea4c5	7105615	0a72ca6841607b78aa6389d37618604ee290ae0d995054d89663d6be31763187	469704	1674333ae6fce6fc1a94c2dbe5baee6c3da5b6c951e614e649fdbe4f0002cfb8	252541984	329601283	certificates/m6-b7-l6-hard-witness-no-gain-leaf-068.lrat.xz
069	o24-w06	10	23626	144311	10402708	2cf83c558480e6ab10ba59aabafcc6f5f23a3db6cb80d2c139bd5544bc050789	7104720	c63d642911fe2ec87cbedd0d56b6997df6f045f115f6e0dc74f1452717e361b2	469428	b8356b9bcbc0fb25a96bad1a64f9e1481d9d1fc5b9759c67f7d7b67b5044cfa8	255033873	331446462	certificates/m6-b7-l6-hard-witness-no-gain-leaf-069.lrat.xz
070	o25-w00	10	23626	144311	10402708	ecf626dcbaf4c0d866ef574a8f48df7f01db7171d029e4a7e2d6fcb42c38eb88	14275565	9290ec790c3ebd13772366e278756b7107b44f11651a1255e0a4e042ab1d157b	1341392	03a329d6db5c481767d2076c2bc51774f7ea0d0ed1daa53dc0209fad4203942b	591911304	460296824	certificates/m6-b7-l6-hard-witness-no-gain-leaf-070.lrat.xz
