m6-b7-l6-hard-witness-no-gain-v1
witness-manifest-bytes	7151
witness-manifest-sha256	0329c78e2f563670c623206daf8b6b143c3813eac2f50d5e6f7c12b6b791186a
witness-hash-ledger-bytes	11078
witness-hash-ledger-sha256	d38e453e802408fb61b0c8f91641f16e231cfbec875993256b8dfe5acfa59513
witness-scout-bytes	48447
witness-scout-sha256	1452d679f8cbb12350ec37564f69303fdbc04b3cecf1c037d66f99d8e72d1a3a
prior-certificate-ledger-bytes	6987
prior-certificate-ledger-sha256	cd46a986097405c2d270f15f2525df67e586cc53137e09ef5eafeafd42f2bd02
leaves	117
parent-incidences	1066
children-per-source	1
scope	exact-no-gain-only; gain refinements excluded
columns	leaf-ordinal,key,parent-orbit,parent-key,high-C,ordered-witnesses,negative-path-units,parents,variables,clauses
021	o05-w06	05	s09-t0	16,17	17,14	32	6	23622	143699
022	o06-w00	06	s09-t1	16,17	10,13	32	6	23622	143699
023	o06-w01	06	s09-t1	16,17	13,13	32	6	23622	143699
024	o06-w02	06	s09-t1	16,17	13,14	32	6	23622	143699
025	o06-w03	06	s09-t1	16,17	17,13	32	6	23622	143699
026	o08-w00	08	s11-t1	17	12	16	10	23626	144294
027	o11-w00	11	s12-t2	16	11	16	10	23626	144294
028	o12-w00	12	s13-t0	16,17	11,9	32	10	23626	144311
029	o12-w01	12	s13-t0	16,17	11,14	32	10	23626	144311
030	o12-w02	12	s13-t0	16,17	14,9	32	10	23626	144311
031	o12-w03	12	s13-t0	16,17	14,14	32	10	23626	144311
032	o12-w04	12	s13-t0	16,17	14,15	32	10	23626	144311
033	o13-w00	13	s13-t1	16,17	11,10	32	10	23626	144311
034	o13-w01	13	s13-t1	16,17	11,13	32	10	23626	144311
035	o13-w02	13	s13-t1	16,17	13,10	32	10	23626	144311
036	o13-w03	13	s13-t1	16,17	13,13	32	10	23626	144311
037	o13-w04	13	s13-t1	16,17	13,14	32	10	23626	144311
038	o14-w00	14	s13-t2	16,17	11,12	32	10	23626	144311
039	o14-w01	14	s13-t2	16,17	12,12	32	10	23626	144311
040	o14-w02	14	s13-t2	16,17	12,13	32	10	23626	144311
041	o15-w00	15	s15-t0	17	13	16	10	23626	144294
042	o15-w01	15	s15-t0	17	16	16	10	23626	144294
043	o16-w00	16	s17-t0	16,17	10,9	32	10	23626	144311
044	o16-w01	16	s17-t0	16,17	10,14	32	10	23626	144311
045	o16-w02	16	s17-t0	16,17	10,16	32	10	23626	144311
046	o16-w03	16	s17-t0	16,17	14,9	32	10	23626	144311
047	o16-w04	16	s17-t0	16,17	14,14	32	10	23626	144311
048	o16-w05	16	s17-t0	16,17	14,15	32	10	23626	144311
049	o16-w06	16	s17-t0	16,17	14,16	32	10	23626	144311
050	o17-w00	17	s17-t1	16,17	10,13	32	10	23626	144311
051	o17-w01	17	s17-t1	16,17	10,16	32	10	23626	144311
052	o17-w02	17	s17-t1	16,17	13,13	32	10	23626	144311
053	o17-w03	17	s17-t1	16,17	13,14	32	10	23626	144311
054	o17-w04	17	s17-t1	16,17	13,16	32	10	23626	144311
055	o19-w00	19	s19-t1	17	12	16	10	23626	144294
056	o23-w00	23	s21-t0	16,17	11,9	32	10	23626	144311
057	o23-w01	23	s21-t0	16,17	11,14	32	10	23626	144311
058	o23-w02	23	s21-t0	16,17	14,9	32	10	23626	144311
059	o23-w03	23	s21-t0	16,17	14,14	32	10	23626	144311
060	o23-w04	23	s21-t0	16,17	14,15	32	10	23626	144311
061	o23-w05	23	s21-t0	16,17	17,9	32	10	23626	144311
062	o23-w06	23	s21-t0	16,17	17,14	32	10	23626	144311
063	o24-w00	24	s21-t1	16,17	11,10	32	10	23626	144311
064	o24-w01	24	s21-t1	16,17	11,13	32	10	23626	144311
065	o24-w02	24	s21-t1	16,17	13,10	32	10	23626	144311
066	o24-w03	24	s21-t1	16,17	13,13	32	10	23626	144311
067	o24-w04	24	s21-t1	16,17	13,14	32	10	23626	144311
068	o24-w05	24	s21-t1	16,17	17,10	32	10	23626	144311
069	o24-w06	24	s21-t1	16,17	17,13	32	10	23626	144311
070	o25-w00	25	s21-t2	16,17	11,12	32	10	23626	144311
