m6-b7-l6-early-c-certificate-residual-exact-pair-singleton-parent-v1
grouped-producer-bytes	8899
grouped-producer-sha256	61ffaf4d38fad6e70034ce65491e1ecba035ae41dba318d5f44a876097fa1ca6
grouped-checker-bytes	16343
grouped-checker-sha256	42dc724e9e8ad825dfa84d897417945cbd255c8e3e9368b2a5abc92c3d0307ab
grouped-manifest-bytes	1666
grouped-manifest-sha256	ca7dd34a8382f5c5ff7d250c38daa1914f8cec6bde9efeb4945d9c8a1ef1b5d4
grouped-hashes-bytes	2361
grouped-hashes-sha256	0c719c2798c78c00c03c013396fa2d359d16abeacb9e9adc397527bead453455
grouped-cells	20
memberships	101
split	one CNF per cell-parent membership with one positive selector unit
pair-pattern	selected parent has two negative q units and seven positive q consequences
selector-disjoint	distinct selected parent projections are incompatible
selector-exhaustive	each grouped selector ALO is partitioned over all compatible parents
proof-status	scout-only; no LRAT generated
columns	membership,cell,source-child,key,profile,pair,parent,parent-projection-fingerprint,selector,variables,clauses
053	011	117	c011-o28-i17-p05	28	3,17	05	ba3df47ae9c6e391f1dc4cd0506fb959f876433e412f91484a5a082c05510187	23622	23626	144338
054	011	117	c011-o28-i17-p06	28	3,17	06	1771a70c6d7b297992030fb6c2abdffaa697390a067ac3923a7c8611cde45cb8	23623	23626	144338
055	011	117	c011-o28-i17-p07	28	3,17	07	dba6cc85c1ade615069a0ee6f52aea16b0d853d3b743419254801498ab0da7a8	23624	23626	144338
056	011	117	c011-o28-i17-p09	28	3,17	09	550b97a25cb1a972e469611f6d34f10e1b406cb16b2c59f6de947a59418de2f8	23626	23626	144338
057	012	120	c012-o28-i20-p04	28	4,17	04	8f2e88e74cf8fc51171bc464ef2a2f10a49ec923932b78a3d5d48c80f98ea8c8	23621	23626	144314
058	012	120	c012-o28-i20-p05	28	4,17	05	ba3df47ae9c6e391f1dc4cd0506fb959f876433e412f91484a5a082c05510187	23622	23626	144314
059	012	120	c012-o28-i20-p06	28	4,17	06	1771a70c6d7b297992030fb6c2abdffaa697390a067ac3923a7c8611cde45cb8	23623	23626	144314
060	012	120	c012-o28-i20-p07	28	4,17	07	dba6cc85c1ade615069a0ee6f52aea16b0d853d3b743419254801498ab0da7a8	23624	23626	144314
061	013	127	c013-o47-i02-p01	47	0,17	01	eee3a5471b27fc8b80919855bc02ee85d2a91cec741fa8009cd8c51044ab0ee4	23618	23622	143686
062	013	127	c013-o47-i02-p04	47	0,17	04	753159d34b0191cba0734c5adde52cdf6538978c1dbd40e9612ed33056d3f60e	23621	23622	143686
063	014	155	c014-o49-i13-p00	49	2,17	00	0f6f9c62215d5b1274ec2e1e0d2ad232ac4863a261e1d851933d43c7fb2a5396	23617	23626	144314
064	014	155	c014-o49-i13-p01	49	2,17	01	8bd302e913843361290318571a0248e2c854e83d55500cac70c5aa1183dea53c	23618	23626	144314
065	014	155	c014-o49-i13-p02	49	2,17	02	13ec279daa26afe1d267f32d75b75e591bf8b85d547b68f341c830189ce7a492	23619	23626	144314
066	014	155	c014-o49-i13-p03	49	2,17	03	a6b69be08fc8e0a484412eda410f8df7446f931d35eb4b0ea759359bc86b56f9	23620	23626	144314
067	015	159	c015-o49-i17-p02	49	3,17	02	13ec279daa26afe1d267f32d75b75e591bf8b85d547b68f341c830189ce7a492	23619	23626	144326
068	015	159	c015-o49-i17-p03	49	3,17	03	a6b69be08fc8e0a484412eda410f8df7446f931d35eb4b0ea759359bc86b56f9	23620	23626	144326
069	015	159	c015-o49-i17-p04	49	3,17	04	156b49e955ad04f2b488d6a99ef6671c95b003f6167abb972a738d1ace3cf03f	23621	23626	144326
070	015	159	c015-o49-i17-p05	49	3,17	05	48f371fef5c0ca2f281aee2f9779d5919ceb259e32e99407abfa90281686e4af	23622	23626	144326
071	015	159	c015-o49-i17-p06	49	3,17	06	2bee426b3332e47162c4854a51f933941b70dca755f54d2bab9d1bb46d8a4b81	23623	23626	144326
072	015	159	c015-o49-i17-p07	49	3,17	07	ba1617619d91fac80ee7b4520b435ed2cd0ec7cad848eff5d6d5c3bfa45746b7	23624	23626	144326
073	016	163	c016-o49-i21-p06	49	4,17	06	2bee426b3332e47162c4854a51f933941b70dca755f54d2bab9d1bb46d8a4b81	23623	23626	144314
074	016	163	c016-o49-i21-p07	49	4,17	07	ba1617619d91fac80ee7b4520b435ed2cd0ec7cad848eff5d6d5c3bfa45746b7	23624	23626	144314
075	016	163	c016-o49-i21-p08	49	4,17	08	449a16d7a2f1be62a8632c6b710c9a6091889aa51d89946145a8cdd8194a37a4	23625	23626	144314
076	016	163	c016-o49-i21-p09	49	4,17	09	4805d1f6a9fb25552896b9635950a330f2dd704b3640914820f06d05a46e3732	23626	23626	144314
077	017	181	c017-o54-i09-p00	54	1,16	00	0f6f9c62215d5b1274ec2e1e0d2ad232ac4863a261e1d851933d43c7fb2a5396	23617	23626	144350
078	017	181	c017-o54-i09-p01	54	1,16	01	8bd302e913843361290318571a0248e2c854e83d55500cac70c5aa1183dea53c	23618	23626	144350
079	017	181	c017-o54-i09-p02	54	1,16	02	13ec279daa26afe1d267f32d75b75e591bf8b85d547b68f341c830189ce7a492	23619	23626	144350
080	017	181	c017-o54-i09-p03	54	1,16	03	a6b69be08fc8e0a484412eda410f8df7446f931d35eb4b0ea759359bc86b56f9	23620	23626	144350
081	017	181	c017-o54-i09-p04	54	1,16	04	156b49e955ad04f2b488d6a99ef6671c95b003f6167abb972a738d1ace3cf03f	23621	23626	144350
082	017	181	c017-o54-i09-p05	54	1,16	05	48f371fef5c0ca2f281aee2f9779d5919ceb259e32e99407abfa90281686e4af	23622	23626	144350
083	017	181	c017-o54-i09-p06	54	1,16	06	2bee426b3332e47162c4854a51f933941b70dca755f54d2bab9d1bb46d8a4b81	23623	23626	144350
084	017	181	c017-o54-i09-p07	54	1,16	07	ba1617619d91fac80ee7b4520b435ed2cd0ec7cad848eff5d6d5c3bfa45746b7	23624	23626	144350
085	017	181	c017-o54-i09-p08	54	1,16	08	449a16d7a2f1be62a8632c6b710c9a6091889aa51d89946145a8cdd8194a37a4	23625	23626	144350
086	017	181	c017-o54-i09-p09	54	1,16	09	4805d1f6a9fb25552896b9635950a330f2dd704b3640914820f06d05a46e3732	23626	23626	144350
087	018	185	c018-o54-i13-p00	54	2,16	00	0f6f9c62215d5b1274ec2e1e0d2ad232ac4863a261e1d851933d43c7fb2a5396	23617	23626	144344
088	018	185	c018-o54-i13-p01	54	2,16	01	8bd302e913843361290318571a0248e2c854e83d55500cac70c5aa1183dea53c	23618	23626	144344
089	018	185	c018-o54-i13-p02	54	2,16	02	13ec279daa26afe1d267f32d75b75e591bf8b85d547b68f341c830189ce7a492	23619	23626	144344
090	018	185	c018-o54-i13-p04	54	2,16	04	156b49e955ad04f2b488d6a99ef6671c95b003f6167abb972a738d1ace3cf03f	23621	23626	144344
091	018	185	c018-o54-i13-p05	54	2,16	05	48f371fef5c0ca2f281aee2f9779d5919ceb259e32e99407abfa90281686e4af	23622	23626	144344
092	018	185	c018-o54-i13-p06	54	2,16	06	2bee426b3332e47162c4854a51f933941b70dca755f54d2bab9d1bb46d8a4b81	23623	23626	144344
093	018	185	c018-o54-i13-p07	54	2,16	07	ba1617619d91fac80ee7b4520b435ed2cd0ec7cad848eff5d6d5c3bfa45746b7	23624	23626	144344
094	018	185	c018-o54-i13-p08	54	2,16	08	449a16d7a2f1be62a8632c6b710c9a6091889aa51d89946145a8cdd8194a37a4	23625	23626	144344
095	018	185	c018-o54-i13-p09	54	2,16	09	4805d1f6a9fb25552896b9635950a330f2dd704b3640914820f06d05a46e3732	23626	23626	144344
096	019	187	c019-o54-i15-p02	54	3,16	02	13ec279daa26afe1d267f32d75b75e591bf8b85d547b68f341c830189ce7a492	23619	23626	144320
097	019	187	c019-o54-i15-p03	54	3,16	03	a6b69be08fc8e0a484412eda410f8df7446f931d35eb4b0ea759359bc86b56f9	23620	23626	144320
098	019	187	c019-o54-i15-p04	54	3,16	04	156b49e955ad04f2b488d6a99ef6671c95b003f6167abb972a738d1ace3cf03f	23621	23626	144320
099	019	187	c019-o54-i15-p08	54	3,16	08	449a16d7a2f1be62a8632c6b710c9a6091889aa51d89946145a8cdd8194a37a4	23625	23626	144320
100	019	187	c019-o54-i15-p09	54	3,16	09	4805d1f6a9fb25552896b9635950a330f2dd704b3640914820f06d05a46e3732	23626	23626	144320
