m6-b7-l6-hard-witness-positive-gain-coordinate-residual-singleton-parent-hashes-v1
manifest-bytes	207703
manifest-sha256	953f94ea423c3cd573a3e9bce43ba9fb4d5d6fa80ac2ac1426e7129e6435c0c5
memberships	1382
columns	membership-ordinal,key,residual-leaf-ordinal,parent-ordinal,accepted-ordinal,cover-index,variables,clauses,cnf-sha256
0047	r007-o01-w03-c16-p05-a28749	007	05	28749	119573	23622	143669	8ffa8e3ad43ffad7f3b77dd0a4ea9e30adadf920f10524e3eab6d7cb3ebc0fc8
0048	r008-o01-w03-c17-p00-a24090	008	00	24090	112962	23622	143669	eab6ed54bba068f9af7503a95e2cb035ae7bef320a7dfc3ab1547ae578b1d8a8
0049	r008-o01-w03-c17-p01-a24118	008	01	24118	113012	23622	143669	b83170d4a4093d61b68ad37b49a0a02d8d7eb256e40ccb5977d81b36dfd27da5
0050	r008-o01-w03-c17-p02-a24123	008	02	24123	113021	23622	143669	60d0440b55a583be2d8df2b8584723364259b0583303618e2922bfedcbcfaf02
0051	r008-o01-w03-c17-p03-a28682	008	03	28682	119452	23622	143669	ddb1c7a67d4033689ec210e50494ee0327a5e7a01a9f6f45243b7404258b04b5
0052	r008-o01-w03-c17-p04-a28744	008	04	28744	119564	23622	143669	f49bd76faa8bae629fe4559b3f9334139e3c2c4d4df76ab5eca9ee913025eed3
0053	r008-o01-w03-c17-p05-a28749	008	05	28749	119573	23622	143669	c8f826b5bff6b2d178e9585f24b9592eb28a87bd9cf63ec14bb06b91aaff0368
0054	r009-o01-w04-c16-p00-a24090	009	00	24090	112962	23622	143669	3647dce1a0ba662f90a1caa92b579bc5e73cf99fc0d5b640b3271b954467a3c7
0055	r009-o01-w04-c16-p01-a24118	009	01	24118	113012	23622	143669	f6bd7f27d08d666d64bc0257bc08e98ec640f5cd8cdcc6716a202cf504639ad9
0056	r009-o01-w04-c16-p02-a24123	009	02	24123	113021	23622	143669	4c1bf315bca19321379f72ea1fa64249f5cbccceff461277d9f70170de228aca
0057	r009-o01-w04-c16-p03-a28682	009	03	28682	119452	23622	143669	a6068be2746350a2b288837e3682ccdbcf04d257a3d93a6bc00c6e69321ca0b9
0058	r009-o01-w04-c16-p04-a28744	009	04	28744	119564	23622	143669	496ae6b2fad475682bed2767f54a8e42afcd7c31fe1978ebcb5838d650366392
0059	r009-o01-w04-c16-p05-a28749	009	05	28749	119573	23622	143669	36303f86ee0a8fdf58acb075d52455c209259aece1469ef0e322b307f3caa34d
0060	r010-o01-w04-c17-p00-a24090	010	00	24090	112962	23622	143669	57e117bf17208b41101597f5e1c5d4018da0f7828019892b8291d225ff67cae6
0061	r010-o01-w04-c17-p01-a24118	010	01	24118	113012	23622	143669	2a49c5ed77dc7c1df1adb8f8c58594f639641239a5dbf2a2bf562c4d35b4ddfe
0062	r010-o01-w04-c17-p02-a24123	010	02	24123	113021	23622	143669	a5fdc9784932a72bb91605f37adfbebd1a778137786c5c8f911716fb7563d058
0063	r010-o01-w04-c17-p03-a28682	010	03	28682	119452	23622	143669	5c04dc0dd097451546570df0aaabcb27184a07158a93e0eeb3618a40f688d8c8
