024	p00-c024	00	024	1200	1250	50	26099	159968	10784716	8b960f181ea1e3d30aee192d0da59aa948b2dbda243e6138a3599c4a7280c61b	61831184	6fc3aae825fefdfe85aec396e0215460e3c80729cab2c66769b15dac266e9e20	11207632	a85a71a955a6ecf15c98494cd9af18e10f939488938dd9b6775970043893b6ef	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-024.lrat.xz
025	p00-c025	00	025	1250	1300	50	26099	159968	10784716	4c860347b8ecc82078eb42e4029dc2fe5d671e5810ebe76083e711680d182488	32843762	ae77f84d67e4eec736ade36191ced186ac02849712e52c0a39c48ab5b4a06229	5099548	2ccd66e50a2e4bd8984702cfad663df1462354fbb71227466ab64b4e35ac1794	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-025.lrat.xz
026	p00-c026	00	026	1300	1350	50	26099	159968	10784716	b25315adee95981894cd85210034cdeac51af0649c795c53644697df8b3fbcb7	58830906	987114b386a38c20137fb39d1bde12e1838d98ac1bba7b93ab3e36e3db1492b3	10622640	77c7a4aee9fad8dbb2c64b5d1b076a8b06721532a18814acba89ad586b3fb24c	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-026.lrat.xz
027	p00-c027	00	027	1350	1400	50	26099	159968	10784716	fafa1aea619d407342b4086bde8763a57dbc205839d79104baae4c366e88a415	77480900	b270ea8f0c49d2487c3c8839beb4900aadc7b0f9c041f3d11cc9457bd8ada73a	14328732	cdc0b68c594bb5a74954997b1afa92072a879bb9888d42692799e845e0536f53	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-027.lrat.xz
028	p00-c028	00	028	1400	1450	50	26099	159968	10784716	1c78ebfca9401bd7cc7b475181e3593d19712b7fb66b39a101a52446a029003b	53344203	a15daea61ad2715f241c36c12f151b8e70a5de1cafe17565d8a16a29726ad6bd	9526140	860ca849eb4d5a1c1f07ddb3b09a1366ce00c6fbebf04b7624a3b07a9a8ee9df	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-028.lrat.xz
029	p00-c029	00	029	1450	1500	50	26099	159968	10784716	cbd2f2c2abe87c259e04aed8dbf1b5672fcb794ead83eec31d92f1324f2a8957	60380640	31361555c53d35d6a93ed76a92b6587283e18c2e220dc1ff69c7483766c4fcf9	11133404	5aa5fa3b8d90b775066a7053052c7c00a02de908bc00a3afd0bf2e2512d56473	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-029.lrat.xz
030	p00-c030	00	030	1500	1550	50	26099	159968	10784716	8bc204be741c3976622bd180029dc764e0b51a7d7fa5fe998aa447b1025cc8db	57838266	a196bf348592fa955ead2cbeb143e779069424df2094eb791646054aa1ad0a03	10323460	6af128c5730d74d5916f46da1336065811cf267e6d7aacc6aec8e38893c25bc5	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-030.lrat.xz
031	p00-c031	00	031	1550	1600	50	26099	159968	10784716	051bc56edb93caf91fecf361dffcace339224360344a78c43a8b095e62f66929	71755202	e1fdf233f9eafa1171e99a33ba61c1789cf76a796f86e76bcf36191c6dca378d	13519892	111d0be62731d2da1603719bc1ae41ff222e583f4b9018604f041d2efdc6a409	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-031.lrat.xz
032	p00-c032	00	032	1600	1650	50	26099	159968	10784716	5e58bb1be6708d0ac6b66e5b7fbe0042185bddf8fa219278779c3f7e1aea4a60	50237001	9ce668a45914727bb0c6d1a94e3509fed0c7febd4a9f962fdcb5a7b6ccf731e0	8671680	8074139ce5a025743e572ea832f9e15ac4e9a8b0f8c20ba5b56be99eceb13b37	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-032.lrat.xz
033	p00-c033	00	033	1650	1700	50	26099	159968	10784716	c4305da3a28ee4be4fd615dde4ccfb280ff73963cedd82606b856a9b96be5811	44710899	5ea814f835a9f40485cb23f5f1e00f7e072921cb1aba5ece29cc484ac58c5761	7621244	55913141bfb76088a0f149b8400c6f5b2f52672b369a86849dc13515df92742f	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-033.lrat.xz
034	p00-c034	00	034	1700	1750	50	26099	159968	10784716	7f39f5cd7dcca02e666429985a39079770be30fd216029d8717eef3d9999760d	58586311	eaec9890fd9e89a68ec1fdd87dc79223dc6698add10dda5afb2cbd82faa4d2eb	10916628	e27ea18a56aae86101e437dcaebed39e337a274a75e94e3b7ae1e439aa9c165f	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-034.lrat.xz
035	p00-c035	00	035	1750	1800	50	26099	159968	10784716	66bb8fb8f06c340d173331d6213e17679d743b362a77d034eff8b69a3d0f551b	47279609	32cc900353b041c8dd905dcac4504a0aaa1716c834f94d00d6e9158abdddfd44	8231272	c9ba92222f94fe7ddc8d23649fd3dbecc396f298e82f328ca49ab81c8270e508	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-035.lrat.xz
036	p00-c036	00	036	1800	1850	50	26099	159968	10784716	e087f66996d57f8cf957bf6201af0b60b501b65f8c7b99525e823eea8af9c4a7	59021649	270c18a965c558f402822822db98252e0ad654062e8abb637927164ca1d8653d	10855868	bab740b0272a77d51b6aebafd3fb39ccddc2caacb7616ca0e2b4f139c69812b6	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-036.lrat.xz
037	p00-c037	00	037	1850	1900	50	26099	159968	10784716	23cc4cbf2e3396f0df91472216322d64c87da3c1e7b3b4be33e0c6adacfc6f4c	57361160	30bbcd4b3cd8316aa303d995331b0f8ffe2e0b6aab1c1dadd0dd6cc79359947a	10392408	07ec7918ea8ed00506294d2f26935f5aa8c3b2b14d184902817c12bae1a0db20	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-037.lrat.xz
038	p00-c038	00	038	1900	1950	50	26099	159968	10784716	6f96faf10ade104054708f1454aacb21aef44970e70c56c79eb1264dab7d9dc5	54942427	df98b646c29f5c0ab37b519b706d2335f51855035800bbb6140f4461c2fe0331	9841924	06696e2be9ad640131edcbcf86fec378719b671270b3cf36d64b85cb42709679	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-038.lrat.xz
039	p00-c039	00	039	1950	2000	50	26099	159968	10784716	b4e73a71ff3d6cfddfa222ccc85e9af81b02e5b6caf3c122414329cf0fe67927	58908826	96fad412ad0968615fa7298c95ef0e9ac58f944bf8b21a7bfa6a89320754c13a	10727032	303abb450983ba7c56dbe975406cb8f4e763481b09bbc2be9f6e0960d84a8732	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-039.lrat.xz
040	p00-c040	00	040	2000	2050	50	26099	159968	10784716	125fa8054f0719bf0a9848f6f555ec3faf1c77b154f9660de2a7a85544eca7da	91706084	afe676451b65bc9fe9882e448a100bd287f50b053f07776a7001b79197a20441	17641344	e1083fde5dca946f4fa04e39100d43a0df713dd24c755a7ca7a5ef281b80484e	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-040.lrat.xz
041	p00-c041	00	041	2050	2100	50	26099	159968	10784716	13cbc7a4015a668b564a29123f7b2524cf4b78db826f8c73b8cac31863af0c38	62014358	e75d1aae66e49e96f5d81b67e7d00918dfc010d22773398355f029a2f11317ce	11288504	59ce457825c758e82c5956f49f350205f00e02364d4db6a2a31eab126f35e6b8	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-041.lrat.xz
042	p00-c042	00	042	2100	2150	50	26099	159968	10784716	c24b3f62190caee6d139242f7e5cdc7570b671a1a0c54a583ddb1c81f78321af	58892756	97ec2079ef2157cd1aa31d0922f2aad15cb79b621c81aa0cdb7ca99e4808c2ae	10245000	9e01649bab47e5765cf50ef7ffb77b59e94d23f1f07a6483e87e9f346394ad19	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-042.lrat.xz
043	p00-c043	00	043	2150	2200	50	26099	159968	10784716	6e14d05f4c93c5f3f0ccae8f43fc85465a25b5637fcb0c83a1d7da5b12c23d16	52996278	37199fb43e93f4ebdfd07139a13b6281c2244fcbf75666cead74e0c568fef1f0	9413108	8689f2b3e96ecfc94bded91b6c72cec393289a4d64fdd2072a10369d69460024	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-043.lrat.xz
044	p00-c044	00	044	2200	2250	50	26099	159968	10784716	ce2cba20b2613411f96dafe76297309af47171c699998f01527380cbac0d31d8	77983217	35156e120a8efe5ae3f1c0a4af4a5afeb00b4639d269c9b4d13b7ad28a4aee28	14156840	ebbe852db51416d128ba5ba69038a197508e76642fb61e7a427a2fa611ddab29	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-044.lrat.xz
045	p00-c045	00	045	2250	2300	50	26099	159968	10784716	2c93b1a50789a798034b3353a207ae68d7449f53b483a2c43a55b54a9a8f1343	48009872	32ca0ffe851ea38a4e0c39bef5d1d9aaeeadd59b7e2c070ebe8f2899dc50cbfd	8415440	cd62fba3b7483c498a03b16088949461e0af92b68158902ca114caed77473741	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-045.lrat.xz
