n,H_negative,mu,mertens,abs_mertens,mertens_d1,mertens_back4,mertens_forward4,mertens_back8,mertens_forward8,is_prime,omega,bigomega,is_squarefree,is_prime_power,prime_power_exponent,prime_gap,distance_prev_prime,distance_next_prime,squarefree_run_left,squarefree_run_right,squarefree_count_5,squarefree_count_9,prime_power_count_9,psi_bit_mass_d1,psi_bit_mass_back4,psi_bit_mass_forward4,psi_bit_curvature4
226,1,1,4,4,1,0,-1,1,-4,0,2,2,1,0,0,4,3,1,1,2,2,6,3,0,8,16,8
227,0,-1,3,3,-1,0,-3,-1,-5,1,1,1,1,1,1,6,0,0,2,1,3,6,3,8,8,16,8
228,0,0,3,3,0,0,-3,-1,-3,0,3,4,0,0,0,2,1,1,0,0,4,5,2,0,8,8,0
229,0,-1,2,2,-1,-1,-3,-3,-3,1,1,1,1,1,1,6,0,0,1,3,4,6,3,8,16,8,-8
230,0,-1,1,1,-1,-3,-3,-3,-1,0,3,3,1,0,0,4,1,3,2,2,3,6,3,0,16,8,-8
231,0,-1,0,0,-1,-3,-2,-3,-1,0,3,3,1,0,0,4,2,2,3,1,4,6,3,0,8,8,0
232,0,0,0,0,0,-3,0,-3,-1,0,2,4,0,0,0,4,3,1,0,0,3,5,2,0,8,8,0
233,0,-1,-1,1,-1,-3,0,-4,-1,1,1,1,1,1,1,10,0,0,1,1,3,6,2,8,8,8,0
234,0,0,-1,1,0,-2,2,-5,-1,0,3,4,0,0,0,6,1,5,0,0,2,6,1,0,8,0,-8
235,0,1,0,0,1,0,1,-3,-1,0,2,2,1,0,0,6,2,4,1,1,3,6,2,0,8,0,-8
236,0,0,0,0,0,0,-1,-3,-2,0,2,3,0,0,0,6,3,3,0,0,3,5,2,0,8,8,0
237,0,1,1,1,1,2,-1,-1,-2,0,2,2,1,0,0,6,4,2,1,3,4,6,3,0,0,8,8
238,0,-1,0,0,-1,1,-3,-1,-3,0,3,3,1,0,0,6,5,1,2,2,3,5,2,0,0,16,16
239,0,-1,-1,1,-1,-1,-2,-1,-3,1,1,1,1,1,1,8,0,0,3,1,4,5,3,8,8,16,8
240,0,0,-1,1,0,-1,-1,-1,-1,0,3,6,0,0,0,2,1,1,0,0,3,4,3,0,8,10,2
241,0,-1,-2,2,-1,-3,-1,-1,-1,1,1,1,1,1,1,12,0,0,1,1,2,4,3,8,16,10,-6
242,0,0,-2,2,0,-2,0,-1,1,0,2,3,0,0,0,10,1,9,0,0,1,4,3,0,16,2,-14
243,0,0,-2,2,0,-1,-1,-2,1,0,1,5,0,1,5,10,2,8,0,0,1,4,3,2,10,2,-8
244,0,0,-2,2,0,-1,0,-2,0,0,2,3,0,0,0,10,3,7,0,0,1,3,2,0,10,0,-10
245,0,0,-2,2,0,0,0,-3,0,0,2,3,0,0,0,10,4,6,0,0,2,4,2,0,2,0,-2
246,0,-1,-3,3,-1,-1,1,-3,1,0,3,3,1,0,0,10,5,5,1,2,2,3,1,0,2,0,-2
247,0,1,-2,2,1,0,2,-1,3,0,2,2,1,0,0,10,6,4,2,1,3,4,2,0,0,0,0
248,0,0,-2,2,0,0,0,-1,1,0,2,4,0,0,0,10,7,3,0,0,3,4,1,0,0,8,8
249,0,1,-1,1,1,1,0,1,1,0,2,2,1,0,0,10,8,2,1,1,3,5,1,0,0,8,8
250,0,0,-1,1,0,2,0,1,-1,0,2,4,0,0,0,10,9,1,0,0,2,6,1,0,0,8,8
251,0,-1,-2,2,-1,0,1,0,-2,1,1,1,1,1,1,16,0,0,1,1,3,6,1,8,8,8,0
252,0,0,-2,2,0,0,1,0,0,0,3,5,0,0,0,6,1,5,0,0,3,5,2,0,8,0,-8
253,0,1,-1,1,1,0,1,1,0,0,2,2,1,0,0,6,2,4,1,3,4,6,3,0,8,2,-6
254,0,1,0,0,1,1,-1,3,-1,0,2,2,1,0,0,6,3,3,2,2,3,6,3,0,8,11,3
255,0,-1,-1,1,-1,1,-3,1,-1,0,3,3,1,0,0,6,4,2,3,1,4,7,3,0,0,11,11
256,0,0,-1,1,0,1,-1,1,-1,0,1,8,0,1,8,6,5,1,0,0,4,6,2,2,2,11,9
257,0,-1,-2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,12,0,0,1,3,4,6,2,9,11,9,-2
258,0,-1,-3,3,-1,-3,0,-2,1,0,3,3,1,0,0,6,1,5,2,2,3,6,2,0,11,0,-11
259,0,1,-2,2,1,-1,2,0,1,0,2,2,1,0,0,6,2,4,3,1,3,6,3,0,11,0,-11
260,0,0,-2,2,0,-1,0,0,1,0,3,4,0,0,0,6,3,3,0,0,3,5,3,0,9,9,0
261,0,0,-2,2,0,0,0,-1,1,0,2,3,0,0,0,6,4,2,0,0,3,6,2,0,0,9,9
262,0,1,-1,1,1,2,1,-1,0,0,2,2,1,0,0,6,5,1,1,2,2,6,1,0,0,9,9
263,0,-1,-2,2,-1,0,-1,-1,-1,1,1,1,1,1,1,12,0,0,2,1,3,6,1,9,9,9,0
264,0,0,-2,2,0,0,1,-1,-1,0,3,5,0,0,0,6,1,5,0,0,4,5,1,0,9,0,-9
265,0,1,-1,1,1,1,1,1,-1,0,2,2,1,0,0,6,2,4,1,3,4,6,2,0,9,0,-9
266,0,-1,-2,2,-1,-1,-1,1,-3,0,3,3,1,0,0,6,3,3,2,2,3,6,2,0,9,9,0
267,0,1,-1,1,1,1,0,1,-1,0,2,2,1,0,0,6,4,2,3,1,4,6,3,0,0,9,9
268,0,0,-1,1,0,1,-2,1,-2,0,2,3,0,0,0,6,5,1,0,0,3,5,2,0,0,18,18
269,0,-1,-2,2,-1,-1,-2,0,-2,1,1,1,1,1,1,8,0,0,1,1,3,6,2,9,9,18,9
270,0,0,-2,2,0,0,-2,-1,-2,0,3,5,0,0,0,2,1,1,0,0,2,6,2,0,9,9,0
271,0,-1,-3,3,-1,-2,-1,-1,-1,1,1,1,1,1,1,8,0,0,1,1,3,5,2,9,18,9,-9
272,0,0,-3,3,0,-2,0,-1,0,0,2,5,0,0,0,6,1,5,0,0,3,4,2,0,18,0,-18
273,0,-1,-4,4,-1,-2,0,-3,0,0,3,3,1,0,0,6,2,4,1,2,3,5,3,0,9,0,-9
274,0,1,-3,3,1,-1,0,-1,0,0,2,2,1,0,0,6,3,3,2,1,2,5,2,0,9,9,0
275,0,0,-3,3,0,0,0,-2,-2,0,2,3,0,0,0,6,4,2,0,0,3,5,2,0,0,9,9
276,0,0,-3,3,0,0,0,-2,-3,0,3,4,0,0,0,6,5,1,0,0,3,4,1,0,0,9,9
277,0,-1,-4,4,-1,0,0,-2,-3,1,1,1,1,1,1,10,0,0,1,2,2,5,2,9,9,9,0
278,0,1,-3,3,1,0,0,-1,-3,0,2,2,1,0,0,4,1,3,2,1,2,5,2,0,9,9,0
279,0,0,-3,3,0,0,-2,0,-5,0,2,3,0,0,0,4,2,2,0,0,3,5,3,0,9,9,0
280,0,0,-3,3,0,0,-3,0,-4,0,3,5,0,0,0,4,3,1,0,0,3,5,3,0,9,18,9
281,0,-1,-4,4,-1,0,-3,0,-4,1,1,1,1,1,1,6,0,0,1,3,3,6,3,9,9,18,9
282,0,-1,-5,5,-1,-2,-3,-2,-3,0,3,3,1,0,0,2,1,1,2,2,3,6,2,0,9,9,0
283,0,-1,-6,6,-1,-3,-3,-3,-3,1,1,1,1,1,1,12,0,0,3,1,4,6,2,9,18,9,-9
284,0,0,-6,6,0,-3,-1,-3,-1,0,2,3,0,0,0,10,1,9,0,0,4,6,2,0,18,0,-18
285,0,-1,-7,7,-1,-3,-1,-3,-1,0,3,3,1,0,0,10,2,8,1,3,4,6,3,0,9,0,-9
286,0,-1,-8,8,-1,-3,0,-5,-1,0,3,3,1,0,0,10,3,7,2,2,3,6,2,0,9,5,-4
287,0,1,-7,7,1,-1,0,-4,0,0,2,2,1,0,0,10,4,6,3,1,3,6,2,0,0,5,5
288,0,0,-7,7,0,-1,0,-4,0,0,2,7,0,0,0,10,5,5,0,0,3,5,1,0,0,5,5
289,0,0,-7,7,0,0,0,-3,0,0,1,2,0,1,2,10,6,4,0,0,3,6,2,5,5,5,0
290,0,-1,-8,8,-1,0,-1,-3,0,0,3,3,1,0,0,10,7,3,1,2,2,5,2,0,5,9,4
291,0,1,-7,7,1,0,0,-1,2,0,2,2,1,0,0,10,8,2,2,1,3,5,2,0,5,9,4
292,0,0,-7,7,0,0,0,-1,2,0,2,3,0,0,0,10,9,1,0,0,3,4,2,0,5,9,4
