cycle255-floating-screen-checkpoint-v1
index	a	sigma	epsilon	T	q0	M	alpha	initial_l3	final_l3	forward_ratio	reverse_ratio	both_directions_ratio	energy_drift	enstrophy_drift
2341	1,-2,-2,0,0	1/16	1/512	5/16	5/4	19/32	19/32	0.085354462040085163	0.085367762497926547	1.0001558261574555	0.99984534830553595	1.0001558261574555	1.3322676295501878e-15	1.6653345369377348e-15
2369	1,-2,-2,0,0	1/16	1/1024	1/16	33/32	25/64	25/64	0.085354462040411083	0.085357113873911511	1.0000310684812139	0.99996897846091604	1.0000310684812139	0	4.4408920985006262e-16
2371	1,-2,-2,0,0	1/16	1/1024	3/16	9/8	15/32	15/32	0.085354462040411083	0.08536242980254545	1.0000933490990851	0.99990707348923669	1.0000933490990851	8.8817841970012523e-16	1.5543122344752192e-15
2373	1,-2,-2,0,0	1/16	1/1024	5/16	5/4	19/32	19/32	0.085354462040411083	0.08536776249809637	1.000155826155626	0.99984534830734972	1.000155826155626	1.5543122344752192e-15	1.6653345369377348e-15
2401	1,-2,-2,0,0	1/24	1/256	1/16	33/32	25/64	25/64	0.085354462040665713	0.085357113874151222	1.000031068481039	0.99996897846108679	1.000031068481039	6.6613381477509392e-16	2.2204460492503131e-16
2403	1,-2,-2,0,0	1/24	1/256	3/16	9/8	15/32	15/32	0.085354462040665713	0.085362429802755282	1.00009334909856	0.9999070734897576	1.00009334909856	8.8817841970012523e-16	1.1102230246251565e-15
2405	1,-2,-2,0,0	1/24	1/256	5/16	5/4	19/32	19/32	0.085354462040665713	0.085367762498276337	1.0001558261547507	0.99984534830821581	1.0001558261547507	8.8817841970012523e-16	2.2204460492503131e-15
2433	1,-2,-2,0,0	1/24	1/512	1/16	33/32	25/64	25/64	0.085354462040701434	0.085357113874178867	1.0000310684809444	0.99996897846118238	1.0000310684809444	5.5511151231257827e-16	5.5511151231257827e-16
2435	1,-2,-2,0,0	1/24	1/512	3/16	9/8	15/32	15/32	0.085354462040701434	0.085362429802766426	1.000093349098272	0.99990707349004193	1.000093349098272	7.7715611723760958e-16	1.1102230246251565e-15
2437	1,-2,-2,0,0	1/24	1/512	5/16	5/4	19/32	19/32	0.085354462040701434	0.085367762498271216	1.0001558261542722	0.99984534830868843	1.0001558261542722	2.1094237467877974e-15	3.219646771412954e-15
2465	1,-2,-2,0,0	1/24	1/1024	1/16	33/32	25/64	25/64	0.085354462040719337	0.085357113874192744	1.0000310684808973	0.9999689784612299	1.0000310684808973	2.2204460492503131e-16	5.5511151231257827e-16
2467	1,-2,-2,0,0	1/24	1/1024	3/16	9/8	15/32	15/32	0.085354462040719337	0.085362429802772227	1.0000933490981303	0.99990707349018404	1.0000933490981303	6.6613381477509392e-16	4.4408920985006262e-16
2469	1,-2,-2,0,0	1/24	1/1024	5/16	5/4	19/32	19/32	0.085354462040719337	0.085367762498268634	1.0001558261540322	0.99984534830892513	1.0001558261540322	1.9984014443252818e-15	2.9976021664879227e-15
2497	1,-2,-2,0,1	1/16	1/256	1/16	17/16	13/16	13/16	0.10084885593189906	0.10084703061807605	0.99998190050044555	1.0000182226352488	1.0000182226352488	8.8817841970012523e-16	2.2204460492503131e-16
2529	1,-2,-2,0,1	1/16	1/512	1/16	17/16	13/16	13/16	0.1008488559171505	0.10084703060322001	0.99998190049937707	1.0000182226363155	1.0000182226363155	8.8817841970012523e-16	3.3306690738754696e-16
2561	1,-2,-2,0,1	1/16	1/1024	1/16	17/16	13/16	13/16	0.10084885590977621	0.100847030595792	0.99998190049884306	1.0000182226368484	1.0000182226368484	8.8817841970012523e-16	1.1102230246251565e-15
2593	1,-2,-2,0,1	1/24	1/256	1/16	17/16	13/16	13/16	0.1008488559062814	0.1008470305922715	0.99998190049858782	1.0000182226371035	1.0000182226371035	9.9920072216264089e-16	8.8817841970012523e-16
2625	1,-2,-2,0,1	1/24	1/512	1/16	17/16	13/16	13/16	0.10084885590434155	0.10084703059031766	0.99998190049844871	1.0000182226372434	1.0000182226372434	8.8817841970012523e-16	2.2204460492503131e-16
